Player,Span,Matches,Innings,NO,Runs,Highest_Score,Average,100s,50s,0s,Country
SR Tendulkar,1989-2013,664,782.0,74.0,34357.0,248.0,48.52,100.0,164.0,34.0,IND
V Kohli,2008-2026,559,626.0,91.0,28215.0,254.0,52.73,85.0,146.0,40.0,IND
KC Sangakkara,2000-2015,594,666.0,67.0,28016.0,319.0,46.77,63.0,153.0,28.0,SL
RT Ponting,1995-2012,560,668.0,70.0,27483.0,257.0,45.95,71.0,146.0,39.0,AUS
DPMD Jayawardene,1997-2015,652,725.0,62.0,25957.0,374.0,39.15,54.0,136.0,47.0,SL
JH Kallis,1995-2014,519,617.0,97.0,25534.0,224.0,49.1,62.0,149.0,33.0,SA
R Dravid,1996-2012,509,605.0,72.0,24208.0,270.0,45.41,48.0,146.0,21.0,IND
JE Root,2012-2026,384,506.0,55.0,22413.0,262.0,49.69,61.0,116.0,26.0,ENG
BC Lara,1990-2007,430,521.0,38.0,22358.0,400.0,46.28,53.0,111.0,33.0,WI
ST Jayasuriya,1989-2011,586,651.0,35.0,21032.0,340.0,34.14,42.0,103.0,53.0,SL
S Chanderpaul,1994-2015,454,553.0,94.0,20988.0,203.0,45.72,41.0,125.0,21.0,WI
Inzamam-ul-Haq,1991-2007,499,551.0,76.0,20580.0,329.0,43.32,35.0,129.0,35.0,PAK
RG Sharma,2007-2026,508,541.0,66.0,20109.0,264.0,42.33,50.0,111.0,34.0,IND
AB de Villiers,2004-2018,420,484.0,68.0,20014.0,278.0,48.11,47.0,109.0,20.0,SA
CH Gayle,1999-2021,483,551.0,35.0,19593.0,333.0,37.97,42.0,105.0,44.0,WI
KS Williamson,2010-2025,376,449.0,50.0,19292.0,251.0,48.35,48.0,103.0,21.0,NZ
DA Warner,2009-2024,383,474.0,26.0,18995.0,335.0,42.39,49.0,98.0,23.0,AUS
HM Amla,2004-2019,349,437.0,36.0,18672.0,311.0,46.56,55.0,88.0,19.0,SA
SC Ganguly,1992-2008,424,488.0,40.0,18575.0,239.0,41.46,38.0,107.0,29.0,IND
SR Waugh,1985-2004,493,548.0,104.0,18496.0,200.0,41.65,35.0,95.0,37.0,AUS
LRPL Taylor,2006-2025,454,513.0,85.0,18244.0,290.0,42.62,40.0,93.0,29.0,Samoa
Younis Khan,2000-2017,408,491.0,45.0,17790.0,313.0,39.88,41.0,83.0,43.0,PAK
AR Border,1978-1994,429,517.0,83.0,17698.0,205.0,40.77,30.0,102.0,22.0,AUS
TM Dilshan,1999-2016,497,527.0,64.0,17671.0,193.0,38.16,39.0,83.0,35.0,SL
SPD Smith,2010-2026,360,429.0,59.0,17657.0,239.0,47.72,49.0,84.0,20.0,AUS
Mohammad Yousuf,1998-2010,381,432.0,52.0,17300.0,223.0,45.52,39.0,97.0,26.0,PAK
MS Dhoni,2004-2019,538,526.0,142.0,17266.0,224.0,44.96,16.0,108.0,21.0,IND
V Sehwag,1999-2013,374,443.0,15.0,17253.0,319.0,40.31,38.0,72.0,31.0,IND
GC Smith,2002-2014,347,432.0,25.0,17236.0,277.0,42.34,37.0,90.0,20.0,SA
MJ Clarke,2003-2015,394,449.0,71.0,17112.0,329.0,45.26,36.0,86.0,21.0,AUS
ME Waugh,1988-2002,372,445.0,37.0,16529.0,173.0,40.51,38.0,97.0,35.0,AUS
Javed Miandad,1975-1996,357,407.0,62.0,16213.0,280.0,46.99,31.0,93.0,14.0,PAK
DL Haynes,1978-1994,354,439.0,53.0,16135.0,184.0,41.8,35.0,96.0,23.0,WI
Mushfiqur Rahim,2005-2025,476,533.0,74.0,15805.0,219.0,34.43,22.0,83.0,33.0,BAN
AN Cook,2006-2018,257,387.0,20.0,15737.0,294.0,42.88,38.0,76.0,16.0,ENG
PA de Silva,1984-2003,401,455.0,41.0,15645.0,267.0,37.78,31.0,86.0,24.0,SL
M Azharuddin,1984-2000,433,455.0,63.0,15593.0,199.0,39.77,29.0,79.0,14.0,IND
AD Mathews,2008-2025,435,480.0,97.0,15546.0,200.0,40.59,19.0,91.0,24.0,SL
Babar Azam,2015-2026,346,385.0,43.0,15463.0,196.0,45.21,32.0,106.0,23.0,PAK
AC Gilchrist,1996-2008,396,429.0,32.0,15461.0,204.0,38.94,33.0,81.0,33.0,AUS
